id,name,brand,category,color,size,price,rating,stock,description,image_url
342,Denim Trucker Jacket,Levi's,Jackets,Light Wash,XS,89.3,4.2,30,Classic denim trucker jacket with chest pockets,https://example.com/images/denim_trucker_jacket_light_wash.jpg
343,Street Style Hoodie,Zara,Hoodies,Dark Brown,L,42.47,4.7,135,Soft fleece hoodie with tonal embroidered logo,https://example.com/images/street_style_hoodie_dark_brown.jpg
344,Essential V-Neck Tee,Uniqlo,T-Shirts,Black,XL,17.75,3.9,142,Soft ribbed v-neck for everyday comfort,https://example.com/images/essential_v_neck_tee_black.jpg
345,Striped Crew Neck Tee,Zara,T-Shirts,Blue/White,S,22.31,4.9,47,Breton stripe cotton tee with a relaxed fit,https://example.com/images/striped_crew_neck_tee_blue_white.jpg
346,Waist Pack,Adidas,Bags,Olive,Standard,23.79,4.7,44,Adjustable waist pack with multiple zip pockets,https://example.com/images/waist_pack_olive.jpg
347,Samba OG,Adidas,Shoes,Black/White,40,84.54,4.9,6,Retro indoor football shoe with gum sole,https://example.com/images/samba_og_black_white.jpg
348,Oversized Hoodie,Fear of God Essentials,Hoodies,Taupe,XS,76.71,4.6,8,Dropped shoulder oversized hoodie with rubber logo,https://example.com/images/oversized_hoodie_taupe.jpg
349,Gel-Lyte III,Asics,Shoes,Birch/Birch,44,90.1,4.2,128,Retro running shoe with split tongue design,https://example.com/images/gel_lyte_iii_birch_birch.jpg
350,Pullover Fleece Hoodie,Champion,Hoodies,Maroon,L,54.81,4.5,118,Heavyweight reverse weave hoodie with kangaroo pocket,https://example.com/images/pullover_fleece_hoodie_maroon.jpg
351,Old Skool,Vans,Shoes,Black/White,40,58.38,4.1,30,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_black_white.jpg
352,Pullover Fleece Hoodie,Champion,Hoodies,Grey,XXL,43.51,4.2,143,Heavyweight reverse weave hoodie with kangaroo pocket,https://example.com/images/pullover_fleece_hoodie_grey.jpg
353,Softshell Jacket,Columbia,Jackets,Black,S,97.7,4.6,130,Stretchy softshell jacket for outdoor activities,https://example.com/images/softshell_jacket_black.jpg
354,Polo Shirt,Ralph Lauren,T-Shirts,Navy,M,78.57,4.7,56,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_navy.jpg
355,Samba OG,Adidas,Shoes,White/Black,43,91.53,4.4,27,Retro indoor football shoe with gum sole,https://example.com/images/samba_og_white_black.jpg
356,Oversized Hoodie,Fear of God Essentials,Hoodies,Taupe,S,96.23,4.8,32,Dropped shoulder oversized hoodie with rubber logo,https://example.com/images/oversized_hoodie_taupe.jpg
357,Samba OG,Adidas,Shoes,White/Black,42,88.48,4,108,Retro indoor football shoe with gum sole,https://example.com/images/samba_og_white_black.jpg
358,Polo Shirt,Ralph Lauren,T-Shirts,Sky Blue,S,75.01,4.7,92,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_sky_blue.jpg
359,Leather Biker Jacket,Schott NYC,Jackets,Black,XL,213.33,4.7,136,Genuine leather moto jacket with asymmetric zip,https://example.com/images/leather_biker_jacket_black.jpg
360,Leather Biker Jacket,Schott NYC,Jackets,Brown,XL,184.25,4.4,107,Genuine leather moto jacket with asymmetric zip,https://example.com/images/leather_biker_jacket_brown.jpg
361,Graphic Print Hoodie,Puma,Hoodies,White,S,43.15,4.7,52,Bold graphic hoodie with a fleece-lined interior,https://example.com/images/graphic_print_hoodie_white.jpg
362,Dry-Fit Training Tee,Nike,T-Shirts,Grey,M,27.42,4.4,109,Moisture-wicking performance tee for workouts,https://example.com/images/dry_fit_training_tee_grey.jpg
363,Fleece Jacket,Decathlon,Jackets,Grey,M,31.93,4.4,63,Lightweight anti-pilling fleece jacket for hiking,https://example.com/images/fleece_jacket_grey.jpg
364,Softshell Jacket,Columbia,Jackets,Green,XL,84.13,4.1,64,Stretchy softshell jacket for outdoor activities,https://example.com/images/softshell_jacket_green.jpg
365,Chuck Taylor All Star,Converse,Shoes,Navy,38,55.69,5,93,Classic high-top canvas sneaker,https://example.com/images/chuck_taylor_all_star_navy.jpg
366,Club C 85,Reebok,Shoes,White/Navy,44,71.31,4.4,62,Clean leather court classic with chalk outsole,https://example.com/images/club_c_85_white_navy.jpg
367,Softshell Jacket,Columbia,Jackets,Blue,M,98.02,4.6,20,Stretchy softshell jacket for outdoor activities,https://example.com/images/softshell_jacket_blue.jpg
368,Street Style Hoodie,Zara,Hoodies,Black,S,39,4,78,Soft fleece hoodie with tonal embroidered logo,https://example.com/images/street_style_hoodie_black.jpg
369,Wide Leg Jeans,ASOS,Jeans,Blue,L,44.96,4.8,86,Wide leg jeans with a high rise and full leg,https://example.com/images/wide_leg_jeans_blue.jpg
370,Windbreaker Jacket,Nike,Jackets,Black,S,70.61,4.5,51,Packable windbreaker with full zip and hood,https://example.com/images/windbreaker_jacket_black.jpg
371,Canvas Tote,Zara,Bags,Ecru,Standard,33.63,3.8,110,Large canvas tote with interior zip pocket,https://example.com/images/canvas_tote_ecru.jpg
372,Polo Shirt,Ralph Lauren,T-Shirts,Sky Blue,XL,79.43,4.7,134,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_sky_blue.jpg
373,Stan Smith,Adidas,Shoes,White/Black,41,76.91,4.2,98,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_black.jpg
374,Tech Fabric Tee,Under Armour,T-Shirts,Black,M,23.64,4.9,15,Anti-odor tech fabric tee for active use,https://example.com/images/tech_fabric_tee_black.jpg
375,Rain Jacket,Patagonia,Jackets,Yellow,M,122.74,4.4,101,Waterproof rain jacket with taped seams and hood,https://example.com/images/rain_jacket_yellow.jpg
376,High Rise Mom Jeans,H&M,Jeans,Black,M,33,3.9,112,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_black.jpg
377,Tote Bag,Longchamp,Bags,Black,M,66.14,4.8,13,Foldable nylon tote bag with leather handles,https://example.com/images/tote_bag_black.jpg
378,Polo Shirt,Ralph Lauren,T-Shirts,Red,S,64.78,4.1,150,Classic pique cotton polo with embroidered logo,https://example.com/images/polo_shirt_red.jpg
379,High Rise Mom Jeans,H&M,Jeans,Black,XS,38.34,4.5,140,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_black.jpg
380,Drawstring Gymsack,Nike,Bags,Black,One Size,21.58,3.8,141,Lightweight polyester gymsack for gym and sports,https://example.com/images/drawstring_gymsack_black.jpg
381,Stan Smith,Adidas,Shoes,White/Black,39,71.75,4.5,35,Clean leather tennis sneaker with perforated 3-stripes,https://example.com/images/stan_smith_white_black.jpg
382,Softshell Jacket,Columbia,Jackets,Red,XL,93.21,3.8,8,Stretchy softshell jacket for outdoor activities,https://example.com/images/softshell_jacket_red.jpg
383,Track Jacket,Adidas,Jackets,Black,S,59.41,4.4,115,Retro-inspired track jacket with snap button closure,https://example.com/images/track_jacket_black.jpg
384,Pullover Fleece Hoodie,Champion,Hoodies,Grey,S,53.45,4.7,126,Heavyweight reverse weave hoodie with kangaroo pocket,https://example.com/images/pullover_fleece_hoodie_grey.jpg
385,High Rise Mom Jeans,H&M,Jeans,White,XL,39.05,3.8,60,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_white.jpg
386,Chuck Taylor All Star,Converse,Shoes,Navy,43,54.06,4.5,74,Classic high-top canvas sneaker,https://example.com/images/chuck_taylor_all_star_navy.jpg
387,Essential V-Neck Tee,Uniqlo,T-Shirts,Cream,XS,15.76,4.9,122,Soft ribbed v-neck for everyday comfort,https://example.com/images/essential_v_neck_tee_cream.jpg
388,Straight Cut Jeans,Tommy Hilfiger,Jeans,Black,36,63.99,4.6,93,Clean straight cut with signature flag detail,https://example.com/images/straight_cut_jeans_black.jpg
389,Distressed Slim Jeans,Pepe Jeans,Jeans,Black,28,63.55,4,117,Slim fit jeans with authentic rip and distress details,https://example.com/images/distressed_slim_jeans_black.jpg
390,Straight Leg Jeans,Levi's 501,Jeans,Medium Wash,32,68.79,4.4,82,Iconic straight cut with button fly,https://example.com/images/straight_leg_jeans_medium_wash.jpg
391,Old Skool,Vans,Shoes,Navy/White,41,68.69,4,50,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_navy_white.jpg
392,Wide Leg Jeans,ASOS,Jeans,Ecru,L,36.17,4.7,119,Wide leg jeans with a high rise and full leg,https://example.com/images/wide_leg_jeans_ecru.jpg
393,Printed Band Tee,Pepe Jeans,T-Shirts,White,S,17.92,4.9,53,Rock-inspired graphic tee with vintage print,https://example.com/images/printed_band_tee_white.jpg
394,Tote Bag,Longchamp,Bags,Black,S,79.6,4.1,25,Foldable nylon tote bag with leather handles,https://example.com/images/tote_bag_black.jpg
395,High Rise Mom Jeans,H&M,Jeans,Light Blue,L,30.52,4.4,65,High-waisted mom jeans with a relaxed fit,https://example.com/images/high_rise_mom_jeans_light_blue.jpg
396,Wide Leg Jeans,ASOS,Jeans,Ecru,XS,40.28,4.3,76,Wide leg jeans with a high rise and full leg,https://example.com/images/wide_leg_jeans_ecru.jpg
397,Linen Blend Tee,Massimo Dutti,T-Shirts,Sage,L,35.1,4.8,48,Breathable linen cotton blend tee for warm weather,https://example.com/images/linen_blend_tee_sage.jpg
398,Striped Crew Neck Tee,Zara,T-Shirts,Red/White,S,18.78,5,25,Breton stripe cotton tee with a relaxed fit,https://example.com/images/striped_crew_neck_tee_red_white.jpg
399,Fresh Foam 1080,New Balance,Shoes,Blue,41,132.7,4.6,143,Premium cushioned running shoe for long distances,https://example.com/images/fresh_foam_1080_blue.jpg
400,Bomber Jacket,Alpha Industries,Jackets,Olive,M,116.09,4.3,72,Classic MA-1 bomber jacket with ribbed collar,https://example.com/images/bomber_jacket_olive.jpg
